timestamp, cpu_power_uW, io_power_uW
1503442811.871787463, 2437000, 5218000
1503442812.146890868, 2437000, 5468000
1503442812.421734909, 2437000, 5468000
1503442812.695512676, 2437000, 5468000
1503442812.972287064, 2437000, 5468000
1503442813.250136366, 2437000, 5468000
1503442813.524352199, 2437000, 5468000
1503442813.799602646, 2437000, 5468000
1503442814.083505952, 2437000, 5468000
1503442814.359977155, 2437000, 5468000
1503442814.639490501, 3906000, 6406000
1503442814.914580005, 3906000, 6406000
1503442815.193084277, 2437000, 5468000
1503442815.473393813, 2437000, 5468000
1503442815.750640328, 2437000, 5468000
1503442816.025724712, 2437000, 5468000
1503442816.303014627, 2437000, 5468000
1503442816.581827003, 2437000, 5218000
1503442816.854278171, 2437000, 5218000
1503442817.132077293, 2437000, 5468000
1503442817.409283607, 2437000, 5468000
1503442817.685722790, 2437000, 5468000
1503442817.959906782, 2437000, 5468000
1503442818.237805006, 2437000, 5218000
1503442818.514050726, 2437000, 5218000
1503442818.791534624, 2437000, 5218000
1503442819.065653735, 2437000, 5468000
1503442819.339104777, 2437000, 5468000
1503442819.617585789, 2437000, 5468000
1503442819.896338304, 2437000, 5468000
1503442820.171698572, 2437000, 5468000
1503442820.444881590, 2437000, 5468000
1503442820.718701978, 2437000, 5468000
1503442820.994236788, 2437000, 5468000
1503442821.271087257, 2437000, 5468000
1503442821.549099022, 2437000, 5468000
1503442821.822294001, 2437000, 5468000
1503442822.100876134, 2437000, 5218000
1503442822.376753209, 2437000, 5218000
1503442822.651955615, 2437000, 5218000
1503442822.924272262, 2437000, 5218000
1503442823.199418707, 2437000, 5468000
1503442823.479242457, 2437000, 6406000
1503442823.758330437, 2437000, 6406000
1503442824.034526537, 2437000, 6406000
1503442824.306558699, 2437000, 5468000
1503442824.589115767, 2437000, 5468000
1503442824.863573603, 2437000, 5468000
1503442825.142053074, 2437000, 5218000
1503442825.415107591, 2437000, 5218000
1503442825.690892365, 2437000, 5468000
1503442825.965323921, 2437000, 5468000
1503442826.239836997, 2437000, 5468000
1503442826.513154978, 2437000, 5218000
1503442826.790564194, 2437000, 5218000
1503442827.066519171, 2437000, 5218000
1503442827.343442561, 2437000, 5218000
1503442827.615431283, 2437000, 5218000
1503442827.889655536, 2437000, 5218000
1503442828.168026945, 2437000, 5218000
1503442828.441470867, 2437000, 5218000
1503442828.715249514, 2437000, 5468000
1503442828.989370846, 2437000, 5218000
1503442829.267779196, 2437000, 5218000
1503442829.545295814, 2437000, 5218000
1503442829.823538162, 2437000, 5218000
1503442830.099714402, 2437000, 5468000
1503442830.374082117, 2437000, 5468000
1503442830.651593695, 2437000, 5468000
1503442830.925332761, 2437000, 5468000
1503442831.201401559, 2437000, 5218000
1503442831.474982363, 2437000, 5468000
1503442831.752718964, 2437000, 5468000
1503442832.026478850, 2437000, 5468000
1503442832.304539596, 2437000, 5468000
1503442832.579312596, 2437000, 5218000
1503442832.854261239, 2437000, 5218000
1503442833.128410491, 2437000, 5468000
1503442833.402335600, 2437000, 5468000
1503442833.679124548, 2437000, 5468000
1503442833.954071051, 2437000, 5468000
1503442834.233138370, 2437000, 5218000
1503442834.511585261, 2437000, 5468000
1503442834.785194805, 2437000, 5468000
1503442835.062111695, 2437000, 5218000
1503442835.340397864, 2437000, 5218000
1503442835.614214071, 2437000, 5218000
1503442835.889264855, 2437000, 5218000
1503442836.163854833, 1937000, 5218000
1503442836.439540326, 1937000, 5218000
1503442836.713238212, 1937000, 5218000
1503442836.994083216, 1937000, 5218000
1503442837.322872479, 1937000, 5218000
1503442837.597952104, 2437000, 5218000
1503442837.873117070, 2437000, 5218000
1503442838.146418790, 2437000, 5218000
1503442838.424365034, 2437000, 5218000
1503442838.712012232, 2437000, 5218000
1503442839.000075535, 2437000, 5218000
1503442839.281931433, 2437000, 5468000
1503442839.557538985, 2437000, 5468000
1503442839.831392372, 2437000, 5468000
1503442840.105665106, 2437000, 5218000
1503442840.380817752, 2437000, 5218000
1503442840.655411990, 2437000, 5218000
1503442840.928840031, 2437000, 5218000
1503442841.204036878, 1937000, 5218000
1503442841.478568335, 1937000, 5218000
1503442841.757328930, 1937000, 5218000
1503442842.039978719, 2437000, 5218000
1503442842.324388332, 2437000, 5218000
1503442842.609496055, 1937000, 5218000
1503442842.891851239, 1937000, 5218000
1503442843.179155432, 1937000, 5218000
1503442843.462931556, 1937000, 5218000
1503442843.746494498, 2437000, 5468000
1503442844.029649794, 2437000, 5468000
1503442844.312754069, 2437000, 5468000
1503442844.592751161, 2437000, 5218000
1503442844.873861869, 2437000, 5218000
1503442845.152387801, 2437000, 5218000
1503442845.427357864, 2437000, 5218000
1503442845.702695512, 2437000, 5218000
1503442845.976219655, 2437000, 5218000
1503442846.252093171, 2437000, 5218000
1503442846.527208396, 2437000, 5218000
1503442846.804820176, 2437000, 5218000
1503442847.078066315, 2437000, 5468000
1503442847.354633660, 2437000, 5468000
1503442847.630498976, 2437000, 5218000
1503442847.904671908, 2437000, 5218000
1503442848.177421061, 1937000, 5218000
1503442848.454148268, 1937000, 5218000
1503442848.731973750, 1937000, 5218000
1503442849.007778805, 1937000, 5218000
1503442849.283543319, 1937000, 5218000
1503442849.557283846, 2437000, 5218000
1503442849.834387558, 2437000, 5218000
1503442850.109597065, 2437000, 5218000
1503442850.385595682, 2437000, 5218000
1503442850.662844296, 1937000, 5468000
1503442850.941694533, 1937000, 5468000
1503442851.216818718, 2437000, 5218000
1503442851.495022186, 2437000, 5218000
1503442851.770139091, 1937000, 5218000
1503442852.048368739, 1937000, 5218000
1503442852.326700849, 1937000, 5218000
1503442852.603366075, 2437000, 5218000
1503442852.879477794, 2437000, 5218000
1503442853.153454164, 2437000, 5218000
1503442853.428429047, 2437000, 5218000
1503442853.703517312, 1937000, 5218000
1503442853.976713471, 1937000, 5218000
1503442854.250109172, 2437000, 5468000
1503442854.524072122, 2437000, 5468000
1503442854.799785235, 2437000, 5468000
1503442855.078565871, 2437000, 5218000
1503442855.365807343, 2437000, 5218000
1503442855.649821430, 2437000, 5218000
1503442855.932838244, 2437000, 5218000
1503442856.221555877, 2437000, 5218000
1503442856.503362534, 2437000, 5218000
1503442856.777992153, 2437000, 5218000
1503442857.056982711, 2437000, 5218000
1503442857.331575169, 2437000, 5468000
1503442857.611297398, 1937000, 5468000
1503442857.889610427, 1937000, 5468000
1503442858.168794468, 1937000, 5218000
1503442858.459533508, 1937000, 5218000
1503442858.747479270, 2437000, 5218000
1503442859.026504449, 2437000, 5218000
1503442859.303032374, 2437000, 5218000
1503442859.580030285, 2437000, 5218000
1503442859.858971903, 2437000, 5218000
1503442860.132723169, 1937000, 5218000
1503442860.407735413, 1937000, 5218000
1503442860.685051429, 2437000, 5218000
1503442860.963374038, 2437000, 5218000
1503442861.238366242, 2437000, 5218000
1503442861.515563636, 2437000, 5218000
1503442861.792415765, 2437000, 5218000
1503442862.066561757, 2437000, 5468000
1503442862.341701522, 2437000, 5468000
1503442862.619740148, 2437000, 5218000
1503442862.897655732, 2437000, 5218000
1503442863.176620390, 2437000, 5218000
1503442863.452284503, 2437000, 5218000
1503442863.727466569, 1937000, 5218000
1503442864.003740810, 1937000, 5218000
1503442864.280861863, 1937000, 5218000
1503442864.560893716, 2437000, 5218000
1503442864.837091296, 2437000, 5218000
1503442865.117735837, 2437000, 5468000
1503442865.400803252, 2437000, 5468000
1503442865.683833266, 2437000, 5468000
1503442865.967545630, 2437000, 5468000
1503442866.248272272, 2437000, 5468000
1503442866.529794246, 2437000, 5468000
1503442866.813851034, 2437000, 5468000
1503442867.098304408, 2437000, 5218000
1503442867.382410517, 2437000, 5218000
1503442867.663312082, 2437000, 5218000
1503442867.944420770, 2437000, 5218000
1503442868.222756279, 2437000, 5218000
1503442868.500902666, 2437000, 5468000
1503442868.775271221, 2437000, 5468000
1503442869.048663243, 2437000, 5468000
1503442869.327162635, 2437000, 5218000
1503442869.602787807, 2437000, 5218000
1503442869.881966088, 2437000, 5218000
1503442870.162974095, 2437000, 5468000
1503442870.444792412, 2437000, 5468000
1503442870.722044407, 2437000, 5468000
1503442871.007152390, 2437000, 5468000
1503442871.289709557, 2437000, 5468000
1503442871.571420753, 2437000, 5468000
1503442871.854636250, 2437000, 5468000
1503442872.144306756, 2437000, 5468000
1503442872.435099437, 2437000, 5468000
1503442872.723987312, 2437000, 5468000
1503442873.012524422, 2437000, 5468000
1503442873.294898827, 2437000, 5468000
1503442873.571274429, 2437000, 5468000
1503442873.845037916, 2437000, 5468000
1503442874.123926093, 2437000, 5468000
1503442874.402293964, 2437000, 5468000
1503442874.677332088, 2437000, 5468000
1503442874.954278458, 2437000, 5468000
1503442875.232428205, 2437000, 5468000
1503442875.510762375, 2437000, 5468000
1503442875.787809647, 2437000, 5468000
1503442876.064772378, 2437000, 5468000
1503442876.344944573, 2437000, 5468000
1503442876.623539766, 2437000, 5468000
1503442876.898760593, 2437000, 5468000
1503442877.173911379, 2437000, 5468000
1503442877.446689992, 2437000, 5468000
1503442877.720799123, 2437000, 5468000
1503442877.995986950, 2437000, 5468000
1503442878.279179626, 2437000, 5468000
1503442878.554825259, 2437000, 5468000
1503442878.827273667, 2437000, 5468000
1503442879.105046429, 2437000, 5468000
1503442879.380927965, 2437000, 5468000
1503442879.655348661, 2437000, 5218000
1503442879.931398119, 2437000, 5218000
1503442880.218007643, 2437000, 5218000
1503442880.496295732, 2437000, 5468000
1503442880.778035368, 2437000, 5468000
1503442881.052072199, 2437000, 5468000
1503442881.326050769, 2437000, 5468000
1503442881.604587021, 2437000, 5468000
1503442881.885281043, 2437000, 5468000
1503442882.170008141, 2437000, 5468000
1503442882.451962580, 2437000, 5468000
1503442882.736085210, 2437000, 5703000
1503442883.024890603, 2437000, 5468000
1503442883.303961183, 2437000, 5468000
1503442883.581886127, 2437000, 5468000
1503442883.856413845, 2437000, 5468000
1503442884.132978210, 2437000, 5468000
1503442884.406892919, 2437000, 5468000
1503442884.686413965, 2437000, 5468000
1503442884.963816982, 2437000, 5468000
1503442885.242282793, 2437000, 5468000
1503442885.526200360, 2437000, 5468000
1503442885.809496178, 2437000, 5468000
1503442886.091813062, 2437000, 5468000
1503442886.373289015, 2437000, 5468000
1503442886.653038224, 2437000, 5703000
1503442886.939698329, 2437000, 5703000
1503442887.222182075, 2437000, 5468000
1503442887.506062301, 2437000, 5468000
1503442887.790272272, 2437000, 5468000
1503442888.074386401, 2437000, 5468000
1503442888.359065738, 2437000, 5468000
1503442888.641393103, 2437000, 5468000
